Topic_Order;Micro_Topic;Level;Level_Name;Function_Name;Trap1_Message;Trap2_Message;Trap3_Message
60;Odejmowanie;2;Z pożyczaniem;dec_sub_2;Zapomniałeś o pożyczaniu z sąsiedniego rzędu!;Błędnie przepisałeś przecinek. Przecinek opada równo na dół.;Błąd rachunkowy przy odejmowaniu.
60;Odejmowanie;3;Z dopisywaniem zer (np. 1 - 0.25);dec_sub_3;Nie masz od czego odjąć liczby! Najpierw dopisz pożyczkowe zera na górze (zrób z 1 -> 1.00) i dopiero wtedy pożyczaj.;Błąd w rzędzie dziesiątek - gdy pożyczasz nad zerem, to zero staje się 9.;Błąd pożyczania.
70;Przesuwanie przecinka;1;Mnożenie przez 10, 100...;dec_comma_1;Przesunąłeś przecinek w lewą stronę! Mnożenie robi liczbę WIEKSZĄ, więc przecinek maszeruje w PRAWO.;Przesunąłeś o złą liczbę miejsc. Mnożąc przez 100 masz dwa zera, więc dwa skoki.;Brak wykreślenia jedynek. Ułamek jest przesunięty, ale format dziwny.
70;Przesuwanie przecinka;2;Dzielenie przez 10, 100...;dec_comma_2;Przesunąłeś przecinek w prawą stronę! Dzielenie robi liczbę MNIEJSZĄ, więc przecinek ucieka w LEWO.;Przesunąłeś o złą liczbę miejsc. Dzieląc przez 100 masz dwa zera, więc robisz dwa skoki w lewo.;Brakuje zera z przodu po przecinku.
80;Mnożenie;1;Przez liczbę jednocyfrową;dec_mult_1;Źle wstawiony przecinek w wyniku! Wymnóż liczby jakby przecinka nie było, a potem wstaw go tak, by po przecinku było tyle samo miejsc co w pytaniu.;Zły wynik mnożenia.;
80;Mnożenie;2;Ułamek przez ułamek;dec_mult_2;Pomyłka z przecinkiem! Policz wszystkie miejsca po przecinku w OBU mnożonych liczbach. Twój wynik musi mieć ich sumę!;Błąd w obliczeniach.;Za mało miejsc po przecinku w wyniku.
80;Mnożenie;3;Z dużą ilością zer;dec_mult_3;Brak przecinka lub w złym miejscu! Pamiętaj, jeśli z przodu wychodzą zera, też je liczysz przy przesuwaniu.;Zgubiłeś zera po przecinku przed samą liczbą.;Błąd mnożenia bazy liczbowej.
90;Dzielenie;1;Przez liczbę całkowitą (bez reszty);dec_div_1;Zgubiłeś przecinek! Podczas dzielenia pisemnego, wstawiasz przecinek w wyniku DOKŁADNIE w tym samym miejscu, co w dolnej liczbie.;Błąd obliczeniowy.;Zapomniałeś o zera na początku.
90;Dzielenie;2;Przez liczbę całkowitą (z resztą);dec_div_2;Wynik wyszedł z resztą! Pamiętaj, że w ułamkach dziesiętnych zawsze możesz dopisać darmowe '0' na samym końcu i ciągnąć dzielenie dalej.;Brakuje zera w wyniku przed cyframi!;Przecinek w złym miejscu.
90;Dzielenie;3;Przez ułamek dziesiętny (proste);dec_div_3;Nie wolno dzielić przez ułamek! Najpierw pozbądź się przecinka z dzielnika, przesuwając go w prawo w OBU liczbach, np. 2,4 : 0,2 = 24 : 2;Błąd mnożenia licznika i dzielnika.;Błąd miejsca dziesiętnego po rozszerzeniu.
90;Dzielenie;4;Przez ułamek dziesiętny (zaawansowane);dec_div_4;Przesunąłeś przecinek tylko w jednej liczbie. Pamiętaj, jeśli dzielnik przesuwasz o 2 w prawo, pierwszą liczbę (dzielną) TEŻ musisz przesunąć o 2.;Nie masz już gdzie przesunąć? Zamiast kroku dodawaj na końcu zera (np. z 5 robisz 50).;Błąd dzielenia pisemnego po przesunięciu przecinka.
100;Potęgowanie;1;Kwadrat ułamka dziesiętnego;dec_pow_1;Mnożysz to przez 2, a to jest kwadrat (do potęgi drugiej). Mnożymy liczbę przez SAMĄ SIEBIE (np. 0.3 * 0.3).;Błąd w stawianiu przecinka. 0.3 ma 1 miejsce. 0.3 * 0.3 musi mieć 1+1=2 miejsca po przecinku (czyli np. 0.09).;Zapomniałeś zera z przodu (np. 0.04 to nie to samo co 0.4).
110;Kolejność wykonywania działań;1;Kolejność Podstawowa;dec_order_1;Policzyłeś od lewej do prawej. Zawsze najpierw mnożenie i dzielenie!;Dodałeś lub odjąłeś wszystkie liczby, zapominając o mnożeniu.;Ostatnie działanie wykonałeś przed pierwszym - zła kolejność!
110;Kolejność wykonywania działań;2;Pojedyncze Nawiasy;dec_order_2;Zignorowałeś nawias! Wykonaj go w pierwszej kolejności.;Pomyliłeś znak na samym końcu działania.;Policzyłeś od lewej do prawej ignorując nawias.
110;Kolejność wykonywania działań;3;Potęgi i Podstawy;dec_order_3;Zrobiłeś mnożenie przed potęgowaniem! Najpierw potęguj.;Pomnożyłeś przez 2 zamiast podnieść do kwadratu!;Zignorowałeś potęgę i po prostu przepisałeś liczbę.
110;Kolejność wykonywania działań;4;Złożone Działania;dec_order_4;Rozwiązałeś nawiasy, ale policzyłeś resztę w złej kolejności.;Zignorowałeś kolejność działań i połączyłeś liczby błędnie.;Skupiłeś się na drugiej części i zapomniałeś o pierwszej.
110;Kolejność wykonywania działań;5;Potęgowanie Nawiasu;dec_order_5;Podniosłeś do kwadratu obie liczby osobno! Najpierw środek, potem potęga.;Pomnożyłeś wynik nawiasu przez 2 zamiast potęgować.;Pomyliłeś znak poza nawiasem.
110;Kolejność wykonywania działań;6;Boss Level;dec_order_6;Zrobiłeś mnożenie przed potęgą nawiasu! Najpierw potęga, potem mnożenie.;Pomnożyłeś nawias przez 2 zamiast potęgować.;Podniosłeś do kwadratu liczby z nawiasu osobno.
120;Jednostki;1;Zamiana na mniejsze (mm, cm);dec_unit_1;Zamieniasz duże na małe (np. z centymetrów na milimetry), powinieneś POMNOŻYĆ przez odpowiednią liczbę.;Błąd przesuwania przecinka - np. 1cm to 10mm, więc przesuwasz o jedno w prawo.;Zła wielkość jednostki konwersyjnej.
120;Jednostki;2;Zamiana na większe (g, kg);dec_unit_2;Zamieniasz z małych na duże, tu trzeba PODZIELIĆ przez odpowiednią wielkość (np. kg to 1000g).;Przesunięty przecinek w złą stronę (np. na prawo). Dzieląc zawsze idziemy w lewo.;Pomyłka w rzędach jednostek (np. myślisz że to 100, a to 1000).
120;Jednostki;3;Jednostki pieniężne i wagowe (mieszane);dec_unit_3;1 złoty to 100 groszy. Oznacza to dwa miejsca po przecinku (np. 20gr = 0.20 zł).;Podałeś złą ilość wagową.;Błąd w konwersji.
130;Działania mieszane;1;Zwykłe dziesiętne jako ułamek;dec_mix_1;Gdy masz zmieszane ułamki zwykłe i dziesiętne w jednym działaniu, zamień wszystkie na jeden z tych typów, najlepiej ułamek zwykły.;Błąd przy skracaniu.;Zły wspólny mianownik.
130;Działania mieszane;2;Ułamki w dzieleniu dziesiętnym;dec_mix_2;Podpowiedź: zamień ułamek zwykły na dziesiętny - tu powinno się dać prosto.;Błąd w operacjach dziesiętnych.;Źle zamieniony ułamek zwykły.
130;Działania mieszane;3;Z nawiasami i różnymi typami;dec_mix_3;Uporządkuj! Najpierw nawiasy, najlepiej wykonane wewnątrz jednego typu np. ułamków zwykłych.;Błąd rachunkowy.;Złe potęgowanie w działaniu mieszanym.
